outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Ta,,Hf,Ti,Ta,C,MX3,0.0004833850543946028,0,2 5 14 6 47 6 55 6 24,Ta C Hf C Ti C Ta,,
Nb,Zr,,,Nb,C,MX2,0.6282925009727478,1,1 4 13 6 36 6 23,Nb C Zr C Nb,,
Mo,Sc,,,Mo,N,MX2,0.9984361529350281,1,1 4 9 7 31 7 19,Mo N Sc N Mo,,
Ta,,,,Ta,C,MX1,0.9981673955917358,1,0 3 14 6 24,Ta C Ta,,
Cr,V,,,Cr,C,MX2,0.7069482803344727,1,1 4 8 6 32 6 18,Cr C V C Cr,,
Nb,Zr,,,Mo,C,MX2,0.0004562037065625191,0,1 4 13 6 36 6 19,Nb C Zr C Mo,,
Cr,V,,,Mo,C,MX2,0.0007147891446948051,0,1 4 8 6 32 6 19,Cr C V C Mo,,
Mo,Zr,,,Mo,N,MX2,0.9985185265541077,1,1 4 9 7 36 7 19,Mo N Zr N Mo,,
V,,,,V,C,MX1,0.9982197880744934,1,0 3 12 6 22,V C V,,
Ta,,Ti,Ti,Mo,C,MX3,0.00044053923920728266,0,2 5 14 6 45 6 55 6 19,Ta C Ti C Ti C Mo,,
W,Sc,,,Mo,C,MX2,0.0006809536716900766,0,1 4 10 6 31 6 19,W C Sc C Mo,,
Mo,,Sc,Ti,Mo,C,MX3,0.0007627076702192426,0,2 5 9 6 41 6 55 6 19,Mo C Sc C Ti C Mo,,
W,,Ti,Ti,W,C,MX3,0.9985476136207581,1,2 5 10 6 45 6 55 6 20,W C Ti C Ti C W,,
Ti,,,,Mo,N,MX1,0.0006697566132061183,0,0 3 15 7 19,Ti N Mo,,
Cr,Nb,,,Cr,C,MX2,0.18545250594615936,0,1 4 8 6 33 6 18,Cr C Nb C Cr,,
Mo,,Ta,Ta,Mo,C,MX3,0.9984636306762695,1,2 5 9 6 44 6 54 6 19,Mo C Ta C Ta C Mo,,
Ta,Zr,,,Mo,C,MX2,0.0004383043269626796,0,1 4 14 6 36 6 19,Ta C Zr C Mo,,
Sc,,Ti,Ti,Sc,C,MX3,0.627647340297699,1,2 5 11 7 45 7 55 6 21,Sc C Ti C Ti C Sc,,
Sc,V,,,Sc,C,MX2,0.008036337792873383,0,1 4 11 6 32 6 21,Sc C V C Sc,,
Cr,,Ti,Ti,Mo,C,MX3,0.0005617624847218394,0,2 5 8 6 45 6 55 6 19,Cr C Ti C Ti C Mo,,
W,,Ti,Ti,Mo,C,MX3,0.0005199561710469425,0,2 5 10 6 45 6 55 6 19,W C Ti C Ti C Mo,,
Sc,,Ti,Ti,Mo,C,MX3,0.0005733903381042182,0,2 5 11 6 45 6 55 6 19,Sc C Ti C Ti C Mo,,
Cr,Ta,,,Cr,C,MX2,0.030065670609474182,0,1 4 8 6 34 6 18,Cr C Ta C Cr,,
Sc,V,,,Mo,N,MX2,0.0009053908288478851,0,1 4 11 7 32 7 19,Sc N V N Mo,,
Mo,Nb,,,Mo,N,MX2,0.9984076619148254,1,1 4 9 7 33 7 19,Mo N Nb N Mo,,
Sc,,Hf,Ti,Mo,C,MX3,0.0005636242567561567,0,2 5 11 6 47 6 55 6 19,Sc C Hf C Ti C Mo,,
Sc,Nb,,,Mo,C,MX2,0.004094743635505438,0,1 4 11 7 33 6 19,Sc C Nb C Mo,,
W,Sc,,,W,C,MX2,0.9984319806098938,1,1 4 10 6 31 6 20,W C Sc C W,,
Cr,,Ti,Ti,Cr,C,MX3,0.9769688248634338,1,2 5 8 6 45 6 55 6 18,Cr C Ti C Ti C Cr,,
Cr,,,,Mo,C,MX1,0.0006547177908942103,0,0 3 8 6 19,Cr C Mo,,
Ta,Hf,,,Mo,C,MX2,0.0004394519201014191,0,1 4 14 6 37 6 19,Ta C Hf C Mo,,
Cr,,,,Cr,C,MX1,0.9985480904579163,1,0 3 8 6 18,Cr C Cr,,
Sc,Nb,,,Sc,C,MX2,0.6953148245811462,1,1 4 11 6 33 6 21,Sc C Nb C Sc,,
W,Ta,,,Mo,C,MX2,0.000641803489997983,0,1 4 10 6 34 6 19,W C Ta C Mo,,
Mo,Hf,,,Mo,N,MX2,0.9985040426254272,1,1 4 9 7 37 7 19,Mo N Hf N Mo,,
Nb,,,,Nb,C,MX1,0.9981538653373718,1,0 3 13 6 23,Nb C Nb,,
Ta,,Zr,Ti,Mo,C,MX3,0.00046523011405952275,0,2 5 14 6 46 6 55 6 19,Ta C Zr C Ti C Mo,,
Nb,Ti,,,Mo,C,MX2,0.0004523175593931228,0,1 4 13 6 35 6 19,Nb C Ti C Mo,,
Ta,Hf,,,Ta,C,MX2,0.9981252551078796,1,1 4 14 6 37 6 24,Ta C Hf C Ta,,
Sc,,Nb,Ti,Mo,C,MX3,0.000734005297999829,0,2 5 11 6 43 6 55 6 19,Sc C Nb C Ti C Mo,,
V,,,,Mo,C,MX1,0.0005536294193007052,0,0 3 12 6 19,V C Mo,,
Sc,,Ta,Ti,Sc,C,MX3,0.0007644308498129249,0,2 5 11 6 44 6 55 6 21,Sc C Ta C Ti C Sc,,
W,,,,W,C,MX1,0.998492956161499,1,0 3 10 6 20,W C W,,
W,Nb,,,Mo,C,MX2,0.0006441354635171592,0,1 4 10 6 33 6 19,W C Nb C Mo,,
W,V,,,Mo,C,MX2,0.0006760293617844582,0,1 4 10 6 32 6 19,W C V C Mo,,
Mo,,Nb,Ti,Mo,N,MX3,0.0010454233270138502,0,2 5 9 7 43 7 55 7 19,Mo N Nb N Ti N Mo,,
Cr,Hf,,,Mo,C,MX2,0.0005682776100002229,0,1 4 8 6 37 6 19,Cr C Hf C Mo,,
Ta,Ti,,,Mo,C,MX2,0.0004336597921792418,0,1 4 14 6 35 6 19,Ta C Ti C Mo,,
Ta,Ti,,,Ta,C,MX2,0.9981651902198792,1,1 4 14 6 35 6 24,Ta C Ti C Ta,,
Cr,Hf,,,Cr,C,MX2,0.1662874072790146,0,1 4 8 6 37 6 18,Cr C Hf C Cr,,
Ta,,Nb,Ti,Mo,C,MX3,0.0004579351516440511,0,2 5 14 6 43 6 55 6 19,Ta C Nb C Ti C Mo,,
W,Ti,,,Mo,C,MX2,0.0005322526558302343,0,1 4 10 6 35 6 19,W C Ti C Mo,,
Sc,Ti,,,Mo,C,MX2,0.000532624137122184,0,1 4 11 6 35 6 19,Sc C Ti C Mo,,
Cr,,Ta,Ti,Mo,C,MX3,0.0007134230108931661,0,2 5 8 6 44 6 55 6 19,Cr C Ta C Ti C Mo,,
Sc,Hf,,,Sc,C,MX2,0.01299033872783184,0,1 4 11 6 37 6 21,Sc C Hf C Sc,,
W,,,,Mo,C,MX1,0.000618737016338855,0,0 3 10 6 19,W C Mo,,
Nb,,,,Nb,N,MX1,0.9980587363243103,1,0 3 13 7 23,Nb N Nb,,
Mo,,Nb,Nb,Mo,C,MX3,0.9984738230705261,1,2 5 9 6 43 6 53 6 19,Mo C Nb C Nb C Mo,,
Mo,,Hf,Hf,Mo,C,MX3,0.9985590577125549,1,2 5 9 7 47 7 57 6 19,Mo C Hf C Hf C Mo,,
Cr,Ti,,,Cr,N,MX2,0.998408854007721,1,1 4 8 7 35 7 18,Cr N Ti N Cr,,
W,Zr,,,Mo,C,MX2,0.0005316390888765454,0,1 4 10 6 36 6 19,W C Zr C Mo,,
Mo,,Ta,Ti,Mo,C,MX3,0.0007414249703288078,0,2 5 9 6 44 6 55 6 19,Mo C Ta C Ti C Mo,,
W,,Sc,Sc,Mo,C,MX3,0.0006949949311092496,0,2 5 10 6 41 6 51 6 19,W C Sc C Sc C Mo,,
Mo,Ta,,,Mo,N,MX2,0.9983986020088196,1,1 4 9 7 34 7 19,Mo N Ta N Mo,,
W,,,,W,N,MX1,0.998430073261261,1,0 3 10 7 20,W N W,,
Mo,,Hf,Ti,Mo,C,MX3,0.0005727029056288302,0,2 5 9 7 47 7 55 6 19,Mo C Hf C Ti C Mo,,
Ta,,,,Mo,N,MX1,0.0006746281869709492,0,0 3 14 7 19,Ta N Mo,,
Ta,Zr,,,Mo,N,MX2,0.0006033133249729872,0,1 4 14 7 36 7 19,Ta N Zr N Mo,,
Sc,Ti,,,Sc,C,MX2,0.1616601198911667,0,1 4 11 6 35 6 21,Sc C Ti C Sc,,
Cr,Sc,,,Mo,C,MX2,0.0007219056133180857,0,1 4 8 6 31 6 19,Cr C Sc C Mo,,
Cr,Nb,,,Mo,C,MX2,0.0006899731233716011,0,1 4 8 6 33 6 19,Cr C Nb C Mo,,
Cr,Zr,,,Mo,C,MX2,0.0005704043433070183,0,1 4 8 6 36 6 19,Cr C Zr C Mo,,
Cr,,Hf,Ti,Mo,N,MX3,0.000753118540160358,0,2 5 8 7 47 7 55 7 19,Cr N Hf N Ti N Mo,,
Nb,Hf,,,Nb,C,MX2,0.6339959502220154,1,1 4 13 6 37 6 23,Nb C Hf C Nb,,
W,Zr,,,W,C,MX2,0.023482801392674446,0,1 4 10 7 36 6 20,W C Zr C W,,
W,Zr,,,Mo,N,MX2,0.0006886743358336389,0,1 4 10 7 36 7 19,W N Zr N Mo,,
Ta,,Zr,Zr,Ta,C,MX3,0.998128354549408,1,2 5 14 6 46 6 56 6 24,Ta C Zr C Zr C Ta,,
Sc,Zr,,,Mo,C,MX2,0.0005515224183909595,0,1 4 11 6 36 6 19,Sc C Zr C Mo,,
Ta,Zr,,,Ta,C,MX2,0.9981752634048462,1,1 4 14 6 36 6 24,Ta C Zr C Ta,,
Sc,,Ta,Ta,Sc,C,MX3,0.05094298720359802,0,2 5 11 6 44 6 54 6 21,Sc C Ta C Ta C Sc,,
W,,Sc,Sc,W,C,MX3,0.01712210476398468,0,2 5 10 6 41 6 51 6 20,W C Sc C Sc C W,,
Nb,Ti,,,Nb,C,MX2,0.9869810938835144,1,1 4 13 7 35 6 23,Nb C Ti C Nb,,
Ta,,,,Ta,N,MX1,0.9980847835540771,1,0 3 14 7 24,Ta N Ta,,
V,,,,V,N,MX1,0.998137354850769,1,0 3 12 7 22,V N V,,
Ta,,Zr,Ti,Ta,C,MX3,0.0027211301494389772,0,2 5 14 6 46 6 55 6 24,Ta C Zr C Ti C Ta,,
Nb,Sc,,,Mo,C,MX2,0.0005799656501039863,0,1 4 13 6 31 6 19,Nb C Sc C Mo,,
Ti,,,,Mo,C,MX1,0.0005032310145907104,0,0 3 15 6 19,Ti C Mo,,
Cr,Ta,,,Mo,C,MX2,0.0006835414096713066,0,1 4 8 6 34 6 19,Cr C Ta C Mo,,
W,,Nb,Ti,Mo,C,MX3,0.0007043999503366649,0,2 5 10 6 43 6 55 6 19,W C Nb C Ti C Mo,,
Nb,,,,Mo,C,MX1,0.0005237022996880114,0,0 3 13 6 19,Nb C Mo,,
Nb,Hf,,,Mo,C,MX2,0.0004548324504867196,0,1 4 13 7 37 6 19,Nb C Hf C Mo,,
Sc,Zr,,,Sc,C,MX2,0.027284415438771248,0,1 4 11 6 36 6 21,Sc C Zr C Sc,,
Sc,Ti,,,Sc,N,MX2,0.9282297492027283,1,1 4 11 7 35 7 21,Sc N Ti N Sc,,
Ta,,Zr,Zr,Mo,C,MX3,0.00045544287422671914,0,2 5 14 6 46 6 56 6 19,Ta C Zr C Zr C Mo,,
Cr,,,,Mo,N,MX1,0.0008692530682310462,0,0 3 8 7 19,Cr N Mo,,
Mo,,Nb,Nb,Mo,N,MX3,0.998408854007721,1,2 5 9 7 43 7 53 7 19,Mo N Nb N Nb N Mo,,
Cr,Ti,,,Cr,C,MX2,0.9475007653236389,1,1 4 8 6 35 6 18,Cr C Ti C Cr,,
Ta,Hf,,,Ta,N,MX2,0.998075008392334,1,1 4 14 7 37 7 24,Ta N Hf N Ta,,
Ta,Zr,,,Ta,N,MX2,0.9981058835983276,1,1 4 14 7 36 7 24,Ta N Zr N Ta,,
Cr,Nb,,,Mo,N,MX2,0.0009042623569257557,0,1 4 8 7 33 7 19,Cr N Nb N Mo,,
Nb,,,,Mo,N,MX1,0.0006826362805441022,0,0 3 13 7 19,Nb N Mo,,
Cr,,Nb,Nb,Mo,C,MX3,0.0007236289675347507,0,2 5 8 6 43 6 53 6 19,Cr C Nb C Nb C Mo,,
W,Ti,,,W,C,MX2,0.9490566253662109,1,1 4 10 6 35 6 20,W C Ti C W,,
Cr,Zr,,,Mo,N,MX2,0.0007498621707782149,0,1 4 8 7 36 7 19,Cr N Zr N Mo,,
V,,,,Mo,N,MX1,0.0007349720108322799,0,0 3 12 7 19,V N Mo,,
Ta,,,,Mo,C,MX1,0.0005122466827742755,0,0 3 14 6 19,Ta C Mo,,
W,Nb,,,W,C,MX2,0.16170482337474823,0,1 4 10 6 33 6 20,W C Nb C W,,
Sc,V,,,Mo,C,MX2,0.0006937293219380081,0,1 4 11 6 32 6 19,Sc C V C Mo,,
Cr,,Ti,Ti,Cr,N,MX3,0.9984927177429199,1,2 5 8 7 45 7 55 7 18,Cr N Ti N Ti N Cr,,
Sc,Ti,,,Mo,N,MX2,0.022173726931214333,0,1 4 11 7 35 7 19,Sc N Ti N Mo,,
Ta,,Ta,Ti,Ta,C,MX3,0.0005960146081633866,0,2 5 14 6 44 6 55 6 24,Ta C Ta C Ti C Ta,,
Cr,,Ta,Ta,Mo,C,MX3,0.0007099616341292858,0,2 5 8 7 44 7 54 6 19,Cr C Ta C Ta C Mo,,
Nb,Sc,,,Nb,C,MX2,0.004142374265938997,0,1 4 13 6 31 6 23,Nb C Sc C Nb,,
Cr,,,,Cr,N,MX1,0.9984793066978455,1,0 3 8 7 18,Cr N Cr,,
W,Ta,,,Mo,N,MX2,0.0008522791904397309,0,1 4 10 7 34 7 19,W N Ta N Mo,,
Sc,,Ti,Ti,Sc,N,MX3,0.998105525970459,1,2 5 11 7 45 7 55 7 21,Sc N Ti N Ti N Sc,,
Sc,Hf,,,Sc,N,MX2,0.9254492521286011,1,1 4 11 7 37 7 21,Sc N Hf N Sc,,
W,V,,,W,N,MX2,0.0015280297957360744,0,1 4 10 7 32 7 20,W N V N W,,
W,Zr,,,W,N,MX2,0.702235221862793,1,1 4 10 7 36 7 20,W N Zr N W,,
W,,V,Ti,Mo,C,MX3,0.0006862322334200144,0,2 5 10 6 42 6 55 6 19,W C V C Ti C Mo,,
W,,Ti,Ti,W,N,MX3,0.9984704852104187,1,2 5 10 7 45 7 55 7 20,W N Ti N Ti N W,,
Sc,Hf,,,Mo,C,MX2,0.0005495564546436071,0,1 4 11 6 37 6 19,Sc C Hf C Mo,,
Cr,Hf,,,Mo,N,MX2,0.000725742953363806,0,1 4 8 7 37 7 19,Cr N Hf N Mo,,
Ta,Sc,,,Ta,C,MX2,0.002813030034303665,0,1 4 14 6 31 6 24,Ta C Sc C Ta,,
Nb,Hf,,,Nb,N,MX2,0.9979606866836548,1,1 4 13 7 37 7 23,Nb N Hf N Nb,,
W,Ta,,,W,C,MX2,0.28489288687705994,0,1 4 10 6 34 6 20,W C Ta C W,,
Ta,,Hf,Hf,Mo,C,MX3,0.00043893425026908517,0,2 5 14 6 47 6 57 6 19,Ta C Hf C Hf C Mo,,
Sc,Ta,,,Mo,N,MX2,0.10529684275388718,0,1 4 11 7 34 7 19,Sc N Ta N Mo,,
Nb,Zr,,,Nb,N,MX2,0.9980674386024475,1,1 4 13 7 36 7 23,Nb N Zr N Nb,,
Cr,V,,,Mo,N,MX2,0.000983178149908781,0,1 4 8 7 32 7 19,Cr N V N Mo,,
Sc,,Ta,Ta,Mo,C,MX3,0.0007023561047390103,0,2 5 11 6 44 6 54 6 19,Sc C Ta C Ta C Mo,,
W,V,,,W,C,MX2,0.0007031008135527372,0,1 4 10 6 32 6 20,W C V C W,,
Sc,,V,V,Sc,C,MX3,0.0007896398310549557,0,2 5 11 6 42 6 52 6 21,Sc C V C V C Sc,,
Cr,,Hf,Hf,Cr,C,MX3,0.198675736784935,0,2 5 8 6 47 6 57 6 18,Cr C Hf C Hf C Cr,,
W,Hf,,,Mo,N,MX2,0.0006832138751633465,0,1 4 10 7 37 7 19,W N Hf N Mo,,
Cr,,Nb,Nb,Cr,C,MX3,0.26377108693122864,0,2 5 8 6 43 6 53 6 18,Cr C Nb C Nb C Cr,,
Cr,,Ta,Ta,Cr,C,MX3,0.03088478185236454,0,2 5 8 6 44 6 54 6 18,Cr C Ta C Ta C Cr,,
W,,V,V,Mo,C,MX3,0.0006821770803071558,0,2 5 10 6 42 6 52 6 19,W C V C V C Mo,,
Sc,,Hf,Hf,Mo,C,MX3,0.0005774846067652106,0,2 5 11 6 47 6 57 6 19,Sc C Hf C Hf C Mo,,
Sc,,Ti,Ti,Mo,N,MX3,0.0006876643165014684,0,2 5 11 7 45 7 55 7 19,Sc N Ti N Ti N Mo,,
Cr,Ti,,,Mo,N,MX2,0.0008335034945048392,0,1 4 8 7 35 7 19,Cr N Ti N Mo,,
Sc,Ta,,,Sc,N,MX2,0.997796893119812,1,1 4 11 7 34 7 21,Sc N Ta N Sc,,
Nb,Ti,,,Mo,N,MX2,0.0006152120768092573,0,1 4 13 7 35 7 19,Nb N Ti N Mo,,
W,V,,,Mo,N,MX2,0.0009285095147788525,0,1 4 10 7 32 7 19,W N V N Mo,,
W,,Ti,Ti,Mo,N,MX3,0.0006732187466695905,0,2 5 10 7 45 7 55 7 19,W N Ti N Ti N Mo,,
Ta,Sc,,,Mo,C,MX2,0.0005604497855529189,0,1 4 14 6 31 6 19,Ta C Sc C Mo,,
Sc,Nb,,,Sc,N,MX2,0.9977388381958008,1,1 4 11 7 33 7 21,Sc N Nb N Sc,,
Sc,Zr,,,Sc,N,MX2,0.9262828230857849,1,1 4 11 7 36 7 21,Sc N Zr N Sc,,
W,,V,Ti,W,C,MX3,0.0007207178859971464,0,2 5 10 6 42 6 55 6 20,W C V C Ti C W,,
Mo,,Hf,Ti,Mo,N,MX3,0.0036658202297985554,0,2 5 9 7 47 7 55 7 19,Mo N Hf N Ti N Mo,,
Ta,,Hf,Hf,Ta,C,MX3,0.9975610971450806,1,2 5 14 6 47 6 57 6 24,Ta C Hf C Hf C Ta,,
W,Nb,,,Mo,N,MX2,0.0008548288606107235,0,1 4 10 7 33 7 19,W N Nb N Mo,,
W,Hf,,,Mo,C,MX2,0.0005277515156194568,0,1 4 10 7 37 6 19,W C Hf C Mo,,
Sc,,Nb,Nb,Mo,C,MX3,0.005318394396454096,0,2 5 11 6 43 6 53 6 19,Sc C Nb C Nb C Mo,,
W,Ti,,,Mo,N,MX2,0.000705516489688307,0,1 4 10 7 35 7 19,W N Ti N Mo,,
Ta,Hf,,,Mo,N,MX2,0.0005995352985337377,0,1 4 14 7 37 7 19,Ta N Hf N Mo,,
Sc,,Hf,Hf,Sc,C,MX3,0.10479984432458878,0,2 5 11 6 47 6 57 6 21,Sc C Hf C Hf C Sc,,
Sc,,Zr,Ti,Mo,C,MX3,0.0005820516962558031,0,2 5 11 7 46 7 55 6 19,Sc C Zr C Ti C Mo,,
Sc,,V,Ti,Mo,C,MX3,0.0007043562363833189,0,2 5 11 6 42 6 55 6 19,Sc C V C Ti C Mo,,
Cr,Sc,,,Cr,C,MX2,0.037084516137838364,0,1 4 8 7 31 6 18,Cr C Sc C Cr,,
Cr,,Ta,Ti,Cr,C,MX3,0.0007998495711944997,0,2 5 8 6 44 6 55 6 18,Cr C Ta C Ti C Cr,,
W,Hf,,,W,N,MX2,0.7028104662895203,1,1 4 10 7 37 7 20,W N Hf N W,,
W,Sc,,,Mo,N,MX2,0.0009510883828625083,0,1 4 10 7 31 7 19,W N Sc N Mo,,
Cr,,Nb,Ti,Cr,C,MX3,0.0008725229999981821,0,2 5 8 6 43 6 55 6 18,Cr C Nb C Ti C Cr,,
Cr,,Hf,Ti,Cr,C,MX3,0.0006317869410850108,0,2 5 8 6 47 6 55 6 18,Cr C Hf C Ti C Cr,,
W,Nb,,,W,N,MX2,0.9882072806358337,1,1 4 10 7 33 7 20,W N Nb N W,,
Mo,,Zr,Ti,Mo,C,MX3,0.0005985752213746309,0,2 5 9 7 46 7 55 6 19,Mo C Zr C Ti C Mo,,
Ta,Ti,,,Ta,N,MX2,0.9980987906455994,1,1 4 14 7 35 7 24,Ta N Ti N Ta,,
W,,Sc,Ti,Mo,C,MX3,0.0007098764181137085,0,2 5 10 6 41 6 55 6 19,W C Sc C Ti C Mo,,
W,,Hf,Ti,W,C,MX3,0.000578701205085963,0,2 5 10 6 47 6 55 6 20,W C Hf C Ti C W,,
Nb,Hf,,,Mo,N,MX2,0.000593209289945662,0,1 4 13 7 37 7 19,Nb N Hf N Mo,,
Mo,,Hf,Hf,Mo,N,MX3,0.9985058307647705,1,2 5 9 7 47 7 57 7 19,Mo N Hf N Hf N Mo,,
Cr,,Nb,Ti,Mo,C,MX3,0.0007378095178864896,0,2 5 8 6 43 6 55 6 19,Cr C Nb C Ti C Mo,,
Sc,Hf,,,Mo,N,MX2,0.0007125994889065623,0,1 4 11 7 37 7 19,Sc N Hf N Mo,,
Sc,V,,,Sc,N,MX2,0.922492265701294,1,1 4 11 7 32 7 21,Sc N V N Sc,,
Mo,,Zr,Zr,Mo,N,MX3,0.9985149502754211,1,2 5 9 7 46 7 56 7 19,Mo N Zr N Zr N Mo,,
Sc,Zr,,,Mo,N,MX2,0.0007056812173686922,0,1 4 11 7 36 7 19,Sc N Zr N Mo,,
Ta,,Ta,Ta,Mo,C,MX3,0.0005538043915294111,0,2 5 14 6 44 6 54 6 19,Ta C Ta C Ta C Mo,,
W,Hf,,,W,C,MX2,0.13072684407234192,0,1 4 10 7 37 6 20,W C Hf C W,,
Sc,,V,V,Mo,C,MX3,0.000711207976564765,0,2 5 11 6 42 6 52 6 19,Sc C V C V C Mo,,
W,,Sc,Ti,W,C,MX3,0.000758577894885093,0,2 5 10 6 41 6 55 6 20,W C Sc C Ti C W,,
W,,Hf,Hf,Mo,C,MX3,0.0005263832863420248,0,2 5 10 7 47 7 57 6 19,W C Hf C Hf C Mo,,
Cr,,V,Ti,Cr,C,MX3,0.0008097694371826947,0,2 5 8 6 42 6 55 6 18,Cr C V C Ti C Cr,,
W,,Sc,Sc,Mo,N,MX3,0.0009328634478151798,0,2 5 10 7 41 7 51 7 19,W N Sc N Sc N Mo,,
Cr,,V,Ti,Mo,C,MX3,0.0007326953345909715,0,2 5 8 7 42 7 55 6 19,Cr C V C Ti C Mo,,
W,,Sc,Ti,W,N,MX3,0.0016719604609534144,0,2 5 10 7 41 7 55 7 20,W N Sc N Ti N W,,
Cr,Hf,,,Cr,N,MX2,0.9433975219726562,1,1 4 8 7 37 7 18,Cr N Hf N Cr,,
Cr,,Ti,Ti,Mo,N,MX3,0.0007376365829259157,0,2 5 8 7 45 7 55 7 19,Cr N Ti N Ti N Mo,,
W,Sc,,,W,N,MX2,0.9983375072479248,1,1 4 10 7 31 7 20,W N Sc N W,,
Cr,,V,Ti,Cr,N,MX3,0.09878799319267273,0,2 5 8 7 42 7 55 7 18,Cr N V N Ti N Cr,,
Cr,,Hf,Hf,Mo,C,MX3,0.0005622261087410152,0,2 5 8 6 47 6 57 6 19,Cr C Hf C Hf C Mo,,
Cr,Sc,,,Cr,N,MX2,0.950225830078125,1,1 4 8 7 31 7 18,Cr N Sc N Cr,,
Ta,,Hf,Ti,Mo,C,MX3,0.0004537989152595401,0,2 5 14 6 47 6 55 6 19,Ta C Hf C Ti C Mo,,
Sc,,Ta,Ti,Mo,N,MX3,0.0009181090863421559,0,2 5 11 7 44 7 55 7 19,Sc N Ta N Ti N Mo,,
Cr,,Zr,Ti,Mo,N,MX3,0.0007690180791541934,0,2 5 8 7 46 7 55 7 19,Cr N Zr N Ti N Mo,,
Mo,,Zr,Ti,Mo,N,MX3,0.0007733403472229838,0,2 5 9 7 46 7 55 7 19,Mo N Zr N Ti N Mo,,
Cr,,Ta,Ti,Cr,N,MX3,0.018858790397644043,0,2 5 8 7 44 7 55 7 18,Cr N Ta N Ti N Cr,,
Sc,,Nb,Nb,Sc,C,MX3,0.9980681538581848,1,2 5 11 6 43 6 53 6 21,Sc C Nb C Nb C Sc,,
Sc,,V,Ti,Sc,C,MX3,0.0007589169545099139,0,2 5 11 6 42 6 55 6 21,Sc C V C Ti C Sc,,
W,Ta,,,W,N,MX2,0.9361966848373413,1,1 4 10 7 34 7 20,W N Ta N W,,
Nb,Zr,,,Mo,N,MX2,0.0005907205049879849,0,1 4 13 7 36 7 19,Nb N Zr N Mo,,
W,,Nb,Ti,W,C,MX3,0.0007641103002242744,0,2 5 10 6 43 6 55 6 20,W C Nb C Ti C W,,
