outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Nb,Sc,,,Nb,C,MX2,0.0018449542112648487,0,1 4 13 6 31 6 23,Nb C Sc C Nb,0,
Sc,Nb,,,Sc,N,MX2,0.9867808222770691,1,1 4 11 7 33 7 21,Sc N Nb N Sc,1,
Ta,,Zr,Zr,Ta,C,MX3,0.9761842489242554,1,2 5 14 6 46 6 56 6 24,Ta C Zr C Zr C Ta,1,
Mo,Nb,,,Mo,N,MX2,0.9880289435386658,1,1 4 9 7 33 7 19,Mo N Nb N Mo,1,
Cr,,,,Cr,C,MX1,0.9883342981338501,1,0 3 8 6 18,Cr C Cr,1,
Mo,,Nb,Nb,Mo,C,MX3,0.9765596389770508,1,2 5 9 6 43 6 53 6 19,Mo C Nb C Nb C Mo,1,
W,,Ta,Ta,W,C,MX3,0.006073508411645889,0,2 5 10 6 44 6 54 6 20,W C Ta C Ta C W,,
Nb,,Ti,Ti,Nb,C,MX3,0.9870889782905579,1,2 5 13 6 45 6 55 6 23,Nb C Ti C Ti C Nb,,
Mo,Hf,,,Mo,N,MX2,0.9883737564086914,1,1 4 9 7 37 7 19,Mo N Hf N Mo,1,
Cr,V,,,Cr,N,MX2,0.9799385070800781,1,1 4 8 7 32 7 18,Cr N V N Cr,1,
Cr,,Zr,Zr,Cr,C,MX3,0.004859852138906717,0,2 5 8 6 46 6 56 6 18,Cr C Zr C Zr C Cr,,
Nb,Zr,,,Nb,N,MX2,0.9876362681388855,1,1 4 13 7 36 7 23,Nb N Zr N Nb,0,
W,Ti,,,W,C,MX2,0.9883472323417664,1,1 4 10 6 35 6 20,W C Ti C W,1,
Mo,,Sc,Sc,Mo,N,MX3,0.9873769283294678,1,2 5 9 7 41 7 51 7 19,Mo N Sc N Sc N Mo,,
W,Ta,,,W,N,MX2,0.9866079092025757,1,1 4 10 7 34 7 20,W N Ta N W,0,
Cr,,Sc,Sc,Cr,C,MX3,0.003333073342218995,0,2 5 8 6 41 6 51 6 18,Cr C Sc C Sc C Cr,,
Ta,,,,Ta,N,MX1,0.987090528011322,1,0 3 14 7 24,Ta N Ta,1,
Cr,V,,,Cr,C,MX2,0.5776879787445068,1,1 4 8 6 32 6 18,Cr C V C Cr,1,
Sc,,Nb,Nb,Sc,C,MX3,0.9830228686332703,1,2 5 11 6 43 6 53 6 21,Sc C Nb C Nb C Sc,1,
Mo,Ti,,,Mo,N,MX2,0.9882531762123108,1,1 4 9 7 35 7 19,Mo N Ti N Mo,1,
Ta,Zr,,,Ta,C,MX2,0.9864600896835327,1,1 4 14 6 36 6 24,Ta C Zr C Ta,1,
V,,Ti,Ti,V,C,MX3,0.9738370776176453,1,2 5 12 6 45 6 55 6 22,V C Ti C Ti C V,,
Nb,,,,Nb,N,MX1,0.9872716069221497,1,0 3 13 7 23,Nb N Nb,1,
W,Nb,,,W,C,MX2,0.0030825589783489704,0,1 4 10 6 33 6 20,W C Nb C W,0,
W,Sc,,,W,C,MX2,0.575812041759491,1,1 4 10 6 31 6 20,W C Sc C W,1,
Mo,Nb,,,Mo,C,MX2,0.9882325530052185,1,1 4 9 6 33 6 19,Mo C Nb C Mo,1,
Mo,,Hf,Hf,Mo,C,MX3,0.9862561821937561,1,2 5 9 6 47 6 57 6 19,Mo C Hf C Hf C Mo,1,
Sc,,Ta,Ta,Sc,C,MX3,0.9858807325363159,1,2 5 11 6 44 6 54 6 21,Sc C Ta C Ta C Sc,1,
V,Hf,,,V,N,MX2,0.904759407043457,1,1 4 12 7 37 7 22,V N Hf N V,,
Nb,,Nb,Nb,Nb,C,MX3,0.7017208337783813,1,2 5 13 6 43 6 53 6 23,Nb C Nb C Nb C Nb,,
W,Nb,,,W,N,MX2,0.986579954624176,1,1 4 10 7 33 7 20,W N Nb N W,0,
Mo,,Ta,Ta,Mo,C,MX3,0.9876921772956848,1,2 5 9 6 44 6 54 6 19,Mo C Ta C Ta C Mo,1,
Cr,Ta,,,Cr,C,MX2,0.0016851783730089664,0,1 4 8 6 34 6 18,Cr C Ta C Cr,0,
Cr,,Ta,Ta,Cr,N,MX3,0.9874953627586365,1,2 5 8 7 44 7 54 7 18,Cr N Ta N Ta N Cr,,
Ta,Hf,,,Ta,C,MX2,0.9798728227615356,1,1 4 14 6 37 6 24,Ta C Hf C Ta,1,
W,V,,,W,N,MX2,0.9764530062675476,1,1 4 10 7 32 7 20,W N V N W,0,
W,,Zr,Zr,W,C,MX3,0.0030086992774158716,0,2 5 10 6 46 6 56 6 20,W C Zr C Zr C W,,
Mo,Sc,,,Mo,N,MX2,0.9873617887496948,1,1 4 9 7 31 7 19,Mo N Sc N Mo,1,
Sc,,Mo,Mo,Sc,C,MX3,0.011509179137647152,0,2 5 11 6 39 6 49 6 21,Sc C Mo C Mo C Sc,,
Ti,,,,Ti,N,MX1,0.9833905100822449,1,0 3 15 7 25,Ti N Ti,1,
W,,Sc,Sc,W,N,MX3,0.9851030707359314,1,2 5 10 7 41 7 51 7 20,W N Sc N Sc N W,,
Cr,,V,V,Cr,C,MX3,0.5743659734725952,1,2 5 8 6 42 6 52 6 18,Cr C V C V C Cr,,
Sc,,Hf,Hf,Sc,C,MX3,0.0018158702878281474,0,2 5 11 6 47 6 57 6 21,Sc C Hf C Hf C Sc,0,
V,,Cr,Cr,V,C,MX3,0.010869826190173626,0,2 5 12 6 38 6 48 6 22,V C Cr C Cr C V,,
Nb,Hf,,,Nb,N,MX2,0.987374484539032,1,1 4 13 7 37 7 23,Nb N Hf N Nb,1,
Sc,Ta,,,Sc,N,MX2,0.9869510531425476,1,1 4 11 7 34 7 21,Sc N Ta N Sc,1,
Nb,,Hf,Hf,Nb,N,MX3,0.9870927333831787,1,2 5 13 7 47 7 57 7 23,Nb N Hf N Hf N Nb,,
Sc,Ti,,,Sc,N,MX2,0.9226978421211243,1,1 4 11 7 35 7 21,Sc N Ti N Sc,0,
Nb,,,,Nb,C,MX1,0.9873037934303284,1,0 3 13 6 23,Nb C Nb,1,
Cr,,Hf,Hf,Cr,N,MX3,0.9868628978729248,1,2 5 8 7 47 7 57 7 18,Cr N Hf N Hf N Cr,,
Mo,Zr,,,Mo,C,MX2,0.9886232018470764,1,1 4 9 6 36 6 19,Mo C Zr C Mo,1,
W,Hf,,,W,N,MX2,0.9867291450500488,1,1 4 10 7 37 7 20,W N Hf N W,0,
Sc,W,,,Sc,C,MX2,0.004128761123865843,0,1 4 11 6 30 6 21,Sc C W C Sc,,
Cr,Ta,,,Cr,N,MX2,0.9866126775741577,1,1 4 8 7 34 7 18,Cr N Ta N Cr,,
W,,V,V,W,N,MX3,0.9793979525566101,1,2 5 10 7 42 7 52 7 20,W N V N V N W,,
Cr,,,,Cr,N,MX1,0.9879742860794067,1,0 3 8 7 18,Cr N Cr,1,
W,Zr,,,W,N,MX2,0.9878020882606506,1,1 4 10 7 36 7 20,W N Zr N W,0,
Sc,Nb,,,Sc,C,MX2,0.9851056337356567,1,1 4 11 6 33 6 21,Sc C Nb C Sc,1,
Ta,Ti,,,Ta,N,MX2,0.9874318838119507,1,1 4 14 7 35 7 24,Ta N Ti N Ta,1,
Nb,,Sc,Sc,Nb,C,MX3,0.002754427259787917,0,2 5 13 6 41 6 51 6 23,Nb C Sc C Sc C Nb,,
Nb,,Hf,Hf,Nb,C,MX3,0.9811103343963623,1,2 5 13 6 47 6 57 6 23,Nb C Hf C Hf C Nb,,
V,Zr,,,V,N,MX2,0.8939279317855835,1,1 4 12 7 36 7 22,V N Zr N V,,
Ta,,Zr,Zr,Ta,N,MX3,0.9867357015609741,1,2 5 14 7 46 7 56 7 24,Ta N Zr N Zr N Ta,,
Nb,Hf,,,Nb,C,MX2,0.9844939112663269,1,1 4 13 6 37 6 23,Nb C Hf C Nb,0,
Zr,,,,Zr,N,MX1,0.9856134057044983,1,0 3 16 7 26,Zr N Zr,,
Zr,,,,Zr,C,MX1,0.9226779937744141,1,0 3 16 6 26,Zr C Zr,,
W,,,,W,N,MX1,0.9880003333091736,1,0 3 10 7 20,W N W,1,
Sc,Zr,,,Sc,N,MX2,0.9672769904136658,1,1 4 11 7 36 7 21,Sc N Zr N Sc,0,
Mo,,Ta,Ta,Mo,N,MX3,0.9875997304916382,1,2 5 9 7 44 7 54 7 19,Mo N Ta N Ta N Mo,,
Nb,,Zr,Zr,Nb,C,MX3,0.9702492356300354,1,2 5 13 6 46 6 56 6 23,Nb C Zr C Zr C Nb,,
W,Ta,,,W,C,MX2,0.003911643289029598,0,1 4 10 6 34 6 20,W C Ta C W,0,
W,Hf,,,W,C,MX2,0.0017116023227572441,0,1 4 10 6 37 6 20,W C Hf C W,0,
Nb,,Ti,Ti,Nb,N,MX3,0.9872065782546997,1,2 5 13 7 45 7 55 7 23,Nb N Ti N Ti N Nb,,
Sc,,Hf,Hf,Sc,N,MX3,0.9735569953918457,1,2 5 11 7 47 7 57 7 21,Sc N Hf N Hf N Sc,,
Sc,V,,,Sc,C,MX2,0.01182426419109106,0,1 4 11 6 32 6 21,Sc C V C Sc,0,
Cr,Hf,,,Cr,C,MX2,0.001384046976454556,0,1 4 8 6 37 6 18,Cr C Hf C Cr,0,
Ta,,Sc,Sc,Ta,C,MX3,0.002602312481030822,0,2 5 14 6 41 6 51 6 24,Ta C Sc C Sc C Ta,,
Ta,Zr,,,Ta,N,MX2,0.9873921275138855,1,1 4 14 7 36 7 24,Ta N Zr N Ta,1,
V,,Zr,Zr,V,C,MX3,0.001448627794161439,0,2 5 12 6 46 6 56 6 22,V C Zr C Zr C V,,
Ta,,Hf,Hf,Ta,N,MX3,0.986841082572937,1,2 5 14 7 47 7 57 7 24,Ta N Hf N Hf N Ta,,
W,Sc,,,W,N,MX2,0.9600883722305298,1,1 4 10 7 31 7 20,W N Sc N W,1,
Cr,Hf,,,Cr,N,MX2,0.986249566078186,1,1 4 8 7 37 7 18,Cr N Hf N Cr,0,
Sc,V,,,Sc,N,MX2,0.9710091352462769,1,1 4 11 7 32 7 21,Sc N V N Sc,0,
Cr,Zr,,,Cr,C,MX2,0.001868051360361278,0,1 4 8 6 36 6 18,Cr C Zr C Cr,0,
Cr,Nb,,,Cr,N,MX2,0.9861673712730408,1,1 4 8 7 33 7 18,Cr N Nb N Cr,,
Sc,,Ti,Ti,Sc,C,MX3,0.0027787836734205484,0,2 5 11 6 45 6 55 6 21,Sc C Ti C Ti C Sc,0,
V,,Hf,Hf,V,N,MX3,0.9547179341316223,1,2 5 12 7 47 7 57 7 22,V N Hf N Hf N V,,
W,,Zr,Zr,W,N,MX3,0.9868456125259399,1,2 5 10 7 46 7 56 7 20,W N Zr N Zr N W,,
V,Ta,,,V,C,MX2,0.001759889186359942,0,1 4 12 6 34 6 22,V C Ta C V,,
Sc,Ti,,,Sc,C,MX2,0.004599628038704395,0,1 4 11 6 35 6 21,Sc C Ti C Sc,0,
W,V,,,W,C,MX2,0.504141628742218,1,1 4 10 6 32 6 20,W C V C W,0,
Sc,,W,W,Sc,C,MX3,0.008753998205065727,0,2 5 11 6 40 6 50 6 21,Sc C W C W C Sc,,
Ta,,Ti,Ti,Ta,N,MX3,0.9871202111244202,1,2 5 14 7 45 7 55 7 24,Ta N Ti N Ti N Ta,,
V,,Zr,Zr,V,N,MX3,0.9538127779960632,1,2 5 12 7 46 7 56 7 22,V N Zr N Zr N V,,
Nb,,Zr,Zr,Nb,N,MX3,0.9867783784866333,1,2 5 13 7 46 7 56 7 23,Nb N Zr N Zr N Nb,,
Sc,Zr,,,Sc,C,MX2,0.00269357324577868,0,1 4 11 6 36 6 21,Sc C Zr C Sc,0,
Sc,,Ta,Ta,Sc,N,MX3,0.9865472316741943,1,2 5 11 7 44 7 54 7 21,Sc N Ta N Ta N Sc,,
Cr,,Zr,Zr,Cr,N,MX3,0.9869464039802551,1,2 5 8 7 46 7 56 7 18,Cr N Zr N Zr N Cr,,
V,,V,V,V,C,MX3,0.5785785913467407,1,2 5 12 6 42 6 52 6 22,V C V C V C V,,
W,,Hf,Hf,W,C,MX3,0.003815898671746254,0,2 5 10 6 47 6 57 6 20,W C Hf C Hf C W,,
V,Zr,,,V,C,MX2,0.0018523292383179069,0,1 4 12 6 36 6 22,V C Zr C V,,
Cr,,Sc,Sc,Cr,N,MX3,0.9860981702804565,1,2 5 8 7 41 7 51 7 18,Cr N Sc N Sc N Cr,,
V,,Hf,Hf,V,C,MX3,0.0014753366122022271,0,2 5 12 6 47 6 57 6 22,V C Hf C Hf C V,,
Nb,,Mo,Mo,Nb,C,MX3,0.001445514033548534,0,2 5 13 6 39 6 49 6 23,Nb C Mo C Mo C Nb,,
Ta,,Ta,Ta,Ta,C,MX3,0.9852738976478577,1,2 5 14 6 44 6 54 6 24,Ta C Ta C Ta C Ta,,
Nb,,Sc,Sc,Nb,N,MX3,0.9849162101745605,1,2 5 13 7 41 7 51 7 23,Nb N Sc N Sc N Nb,,
V,,V,V,V,N,MX3,0.8717978596687317,1,2 5 12 7 42 7 52 7 22,V N V N V N V,,
V,Cr,,,V,C,MX2,0.016426851972937584,0,1 4 12 6 28 6 22,V C Cr C V,,
V,Hf,,,V,C,MX2,0.0012360787950456142,0,1 4 12 6 37 6 22,V C Hf C V,,
Ta,,Sc,Sc,Ta,N,MX3,0.9848805665969849,1,2 5 14 7 41 7 51 7 24,Ta N Sc N Sc N Ta,,
Sc,,W,Hf,Sc,C,MX3,0.003244300838559866,0,2 5 11 6 40 6 57 6 21,Sc C W C Hf C Sc,,
Sc,,W,Ti,Sc,C,MX3,0.0038477182388305664,0,2 5 11 6 40 6 55 6 21,Sc C W C Ti C Sc,,
V,Ta,,,V,N,MX2,0.7705474495887756,1,1 4 12 7 34 7 22,V N Ta N V,,
Ta,,Cr,Ti,Ta,C,MX3,0.19013985991477966,0,2 5 14 6 38 6 55 6 24,Ta C Cr C Ti C Ta,,
V,,Cr,Ti,V,C,MX3,0.002032914198935032,0,2 5 12 6 38 6 55 6 22,V C Cr C Ti C V,,
Ta,,Cr,Sc,Ta,C,MX3,0.0014088872121647,0,2 5 14 6 38 6 51 6 24,Ta C Cr C Sc C Ta,,
Nb,,Mo,Zr,Nb,C,MX3,0.0015109932282939553,0,2 5 13 6 39 6 56 6 23,Nb C Mo C Zr C Nb,,
