Structure,M,M',Stability Label,ID,Tokens,M-Count,M'-Count,X,X-Count
M2M'C2,Ti,Mo,1,Ti2MoC2,Ti C Mo C Ti,2,1,C,2
M2M'C2,Ti,Sc,0,Ti2ScC2,Ti C Sc C Ti,2,1,C,2
M2M'C2,Ti,Y,0,Ti2YC2,Ti C Y C Ti,2,1,C,2
M2M'C2,Zr,Hf,1,Zr2HfC2,Zr C Hf C Zr,2,1,C,2
M2M'C2,Zr,Ti,1,Zr2TiC2,Zr C Ti C Zr,2,1,C,2
M2M'C2,Zr,Nb,1,Zr2NbC2,Zr C Nb C Zr,2,1,C,2
M2M'C2,Zr,Ta,1,Zr2TaC2,Zr C Ta C Zr,2,1,C,2
M2M'C2,Zr,Sc,0,Zr2ScC2,Zr C Sc C Zr,2,1,C,2
M2M'C2,Zr,Y,0,Zr2YC2,Zr C Y C Zr,2,1,C,2
M2M'C2,Zr,V,0,Zr2VC2,Zr C V C Zr,2,1,C,2
M2M'C2,Zr,Cr,0,Zr2CrC2,Zr C Cr C Zr,2,1,C,2
M2M'C2,Zr,Mo,0,Zr2MoC2,Zr C Mo C Zr,2,1,C,2
M2M'C2,Zr,W,0,Zr2WC2,Zr C W C Zr,2,1,C,2
M2M'C2,Hf,Ti,1,Hf2TiC2,Hf C Ti C Hf,2,1,C,2
M2M'C2,Hf,Zr,1,Hf2ZrC2,Hf C Zr C Hf,2,1,C,2
M2M'C2,Hf,Nb,1,Hf2NbC2,Hf C Nb C Hf,2,1,C,2
M2M'C2,Hf,Ta,1,Hf2TaC2,Hf C Ta C Hf,2,1,C,2
M2M'C2,Hf,Sc,0,Hf2ScC2,Hf C Sc C Hf,2,1,C,2
M2M'C2,Hf,Y,0,Hf2YC2,Hf C Y C Hf,2,1,C,2
M2M'C2,Hf,V,0,Hf2VC2,Hf C V C Hf,2,1,C,2
M2M'C2,Hf,Cr,0,Hf2CrC2,Hf C Cr C Hf,2,1,C,2
M2M'C2,Hf,Mo,0,Hf2MoC2,Hf C Mo C Hf,2,1,C,2
M2M'C2,Hf,W,0,Hf2WC2,Hf C W C Hf,2,1,C,2
M2M'C2,V,Ti,1,V2TiC2,V C Ti C V,2,1,C,2
M2M'C2,V,Ta,1,V2TaC2,V C Ta C V,2,1,C,2
M2M'C2,V,Cr,1,V2CrC2,V C Cr C V,2,1,C,2
M2M'C2,V,Sc,0,V2ScC2,V C Sc C V,2,1,C,2
M2M'C2,V,Y,0,V2YC2,V C Y C V,2,1,C,2
M2M'C2,V,Zr,0,V2ZrC2,V C Zr C V,2,1,C,2
M2M'C2,V,Hf,0,V2HfC2,V C Hf C V,2,1,C,2
M2M'C2,V,Nb,0,V2NbC2,V C Nb C V,2,1,C,2
M2M'C2,V,Mo,0,V2MoC2,V C Mo C V,2,1,C,2
M2M'C2,V,W,0,V2WC2,V C W C V,2,1,C,2
M2M'C2,Nb,Sc,1,Nb2ScC2,Nb C Sc C Nb,2,1,C,2
M2M'C2,Nb,Ti,1,Nb2TiC2,Nb C Ti C Nb,2,1,C,2
M2M'C2,Nb,Zr,1,Nb2ZrC2,Nb C Zr C Nb,2,1,C,2
M2M'C2,Nb,Hf,1,Nb2HfC2,Nb C Hf C Nb,2,1,C,2
M2M'C2,Nb,Ta,0,Nb2TaC2,Nb C Ta C Nb,2,1,C,2
M2M'C2,Nb,Y,0,Nb2YC2,Nb C Y C Nb,2,1,C,2
M2M'C2,Nb,V,0,Nb2VC2,Nb C V C Nb,2,1,C,2
M2M'C2,Nb,Cr,0,Nb2CrC2,Nb C Cr C Nb,2,1,C,2
M2M'C2,Nb,Mo,0,Nb2MoC2,Nb C Mo C Nb,2,1,C,2
M2M'C2,Nb,W,0,Nb2WC2,Nb C W C Nb,2,1,C,2
M2M'C2,Ta,Sc,1,Ta2ScC2,Ta C Sc C Ta,2,1,C,2
M2M'C2,Ta,Ti,1,Ta2TiC2,Ta C Ti C Ta,2,1,C,2
M2M'C2,Ta,Hf,1,Ta2HfC2,Ta C Hf C Ta,2,1,C,2
M2M'C2,Ta,Zr,1,Ta2ZrC2,Ta C Zr C Ta,2,1,C,2
M2M'C2,Ta,Nb,0,Ta2NbC2,Ta C Nb C Ta,2,1,C,2
M2M'C2,Ta,V,1,Ta2VC2,Ta C V C Ta,2,1,C,2
M2M'C2,Ta,Cr,0,Ta2CrC2,Ta C Cr C Ta,2,1,C,2
M2M'C2,Ta,Mo,0,Ta2MoC2,Ta C Mo C Ta,2,1,C,2
M2M'C2,Ta,W,0,Ta2WC2,Ta C W C Ta,2,1,C,2
M2M'C2,Ta,Y,0,Ta2YC2,Ta C Y C Ta,2,1,C,2
M2M'C2,Cr,Ti,1,Cr2TiC2,Cr C Ti C Cr,2,1,C,2
M2M'C2,Cr,V,1,Cr2VC2,Cr C V C Cr,2,1,C,2
M2M'C2,Cr,Sc,0,Cr2ScC2,Cr C Sc C Cr,2,1,C,2
M2M'C2,Cr,Y,0,Cr2YC2,Cr C Y C Cr,2,1,C,2
M2M'C2,Cr,Zr,0,Cr2ZrC2,Cr C Zr C Cr,2,1,C,2
M2M'C2,Cr,Hf,0,Cr2HfC2,Cr C Hf C Cr,2,1,C,2
M2M'C2,Cr,Nb,0,Cr2NbC2,Cr C Nb C Cr,2,1,C,2
M2M'C2,Cr,Ta,0,Cr2TaC2,Cr C Ta C Cr,2,1,C,2
M2M'C2,Cr,Mo,0,Cr2MoC2,Cr C Mo C Cr,2,1,C,2
M2M'C2,Cr,W,0,Cr2WC2,Cr C W C Cr,2,1,C,2
M2M'C2,Mo,Sc,1,Mo2ScC2,Mo C Sc C Mo,2,1,C,2
M2M'C2,Mo,Ti,1,Mo2TiC2,Mo C Ti C Mo,2,1,C,2
M2M'C2,Mo,Ta,1,Mo2TaC2,Mo C Ta C Mo,2,1,C,2
M2M'C2,Mo,Zr,1,Mo2ZrC2,Mo C Zr C Mo,2,1,C,2
M2M'C2,Mo,Hf,1,Mo2HfC2,Mo C Hf C Mo,2,1,C,2
M2M'C2,Mo,Nb,1,Mo2NbC2,Mo C Nb C Mo,2,1,C,2
M2M'C2,Mo,Y,0,Mo2YC2,Mo C Y C Mo,2,1,C,2
M2M'C2,Mo,V,0,Mo2VC2,Mo C V C Mo,2,1,C,2
M2M'C2,Mo,Cr,0,Mo2CrC2,Mo C Cr C Mo,2,1,C,2
M2M'C2,Mo,W,0,Mo2WC2,Mo C W C Mo,2,1,C,2
M2M'C2,W,Ti,1,W2TiC2,W C Ti C W,2,1,C,2
M2M'C2,W,Sc,1,W2ScC2,W C Sc C W,2,1,C,2
M2M'C2,W,Y,0,W2YC2,W C Y C W,2,1,C,2
M2M'C2,W,Zr,0,W2ZrC2,W C Zr C W,2,1,C,2
M2M'C2,W,Hf,0,W2HfC2,W C Hf C W,2,1,C,2
M2M'C2,W,V,0,W2VC2,W C V C W,2,1,C,2
M2M'C2,W,Nb,0,W2NbC2,W C Nb C W,2,1,C,2
M2M'C2,W,Ta,0,W2TaC2,W C Ta C W,2,1,C,2
M2M'C2,W,Cr,0,W2CrC2,W C Cr C W,2,1,C,2
M2M'C2,W,Mo,0,W2MoC2,W C Mo C W,2,1,C,2
M2M'2C3,Sc,Y,0,Sc2Y2C3,Sc C Y C Y C Sc,2,2,C,3
M2M'2C3,Sc,Ti,0,Sc2Ti2C3,Sc C Ti C Ti C Sc,2,2,C,3
M2M'2C3,Sc,Zr,0,Sc2Zr2C3,Sc C Zr C Zr C Sc,2,2,C,3
M2M'2C3,Sc,Hf,0,Sc2Hf2C3,Sc C Hf C Hf C Sc,2,2,C,3
M2M'2C3,Sc,V,0,Sc2V2C3,Sc C V C V C Sc,2,2,C,3
M2M'2C3,Sc,Nb,1,Sc2Nb2C3,Sc C Nb C Nb C Sc,2,2,C,3
M2M'2C3,Sc,Ta,1,Sc2Ta2C3,Sc C Ta C Ta C Sc,2,2,C,3
M2M'2C3,Sc,Cr,0,Sc2Cr2C3,Sc C Cr C Cr C Sc,2,2,C,3
M2M'2C3,Sc,Mo,1,Sc2Mo2C3,Sc C Mo C Mo C Sc,2,2,C,3
M2M'2C3,Sc,W,1,Sc2W2C3,Sc C W C W C Sc,2,2,C,3
M2M'2C3,Y,Sc,0,Y2Sc2C3,Y C Sc C Sc C Y,2,2,C,3
M2M'2C3,Y,Ti,0,Y2Ti2C3,Y C Ti C Ti C Y,2,2,C,3
M2M'2C3,Y,Zr,0,Y2Zr2C3,Y C Zr C Zr C Y,2,2,C,3
M2M'2C3,Y,Hf,0,Y2Hf2C3,Y C Hf C Hf C Y,2,2,C,3
M2M'2C3,Y,V,0,Y2V2C3,Y C V C V C Y,2,2,C,3
M2M'2C3,Y,Nb,0,Y2Nb2C3,Y C Nb C Nb C Y,2,2,C,3
M2M'2C3,Y,Ta,0,Y2Ta2C3,Y C Ta C Ta C Y,2,2,C,3
M2M'2C3,Y,Cr,0,Y2Cr2C3,Y C Cr C Cr C Y,2,2,C,3
M2M'2C3,Y,Mo,0,Y2Mo2C3,Y C Mo C Mo C Y,2,2,C,3
M2M'2C3,Y,W,0,Y2W2C3,Y C W C W C Y,2,2,C,3
M2M'2C3,Ti,Sc,0,Ti2Sc2C3,Ti C Sc C Sc C Ti,2,2,C,3
M2M'2C3,Ti,Y,0,Ti2Y2C3,Ti C Y C Y C Ti,2,2,C,3
M2M'2C3,Ti,Zr,0,Ti2Zr2C3,Ti C Zr C Zr C Ti,2,2,C,3
M2M'2C3,Ti,Hf,0,Ti2Hf2C3,Ti C Hf C Hf C Ti,2,2,C,3
M2M'2C3,Ti,V,1,Ti2V2C3,Ti C V C V C Ti,2,2,C,3
M2M'2C3,Ti,Nb,1,Ti2Nb2C3,Ti C Nb C Nb C Ti,2,2,C,3
M2M'2C3,Ti,Ta,1,Ti2Ta2C3,Ti C Ta C Ta C Ti,2,2,C,3
M2M'2C3,Ti,Cr,1,Ti2Cr2C3,Ti C Cr C Cr C Ti,2,2,C,3
M2M'2C3,Ti,Mo,1,Ti2Mo2C3,Ti C Mo C Mo C Ti,2,2,C,3
M2M'2C3,Ti,W,1,Ti2W2C3,Ti C W C W C Ti,2,2,C,3
M2M'2C3,Zr,Sc,0,Zr2Sc2C3,Zr C Sc C Sc C Zr,2,2,C,3
M2M'2C3,Zr,Y,0,Zr2Y2C3,Zr C Y C Y C Zr,2,2,C,3
M2M'2C3,Zr,Ti,0,Zr2Ti2C3,Zr C Ti C Ti C Zr,2,2,C,3
M2M'2C3,Zr,Hf,1,Zr2Hf2C3,Zr C Hf C Hf C Zr,2,2,C,3
M2M'2C3,Zr,V,0,Zr2V2C3,Zr C V C V C Zr,2,2,C,3
M2M'2C3,Zr,Nb,1,Zr2Nb2C3,Zr C Nb C Nb C Zr,2,2,C,3
M2M'2C3,Zr,Ta,1,Zr2Ta2C3,Zr C Ta C Ta C Zr,2,2,C,3
M2M'2C3,Zr,Cr,0,Zr2Cr2C3,Zr C Cr C Cr C Zr,2,2,C,3
M2M'2C3,Zr,Mo,0,Zr2Mo2C3,Zr C Mo C Mo C Zr,2,2,C,3
M2M'2C3,Zr,W,0,Zr2W2C3,Zr C W C W C Zr,2,2,C,3
M2M'2C3,Hf,Sc,0,Hf2Sc2C3,Hf C Sc C Sc C Hf,2,2,C,3
M2M'2C3,Hf,Y,0,Hf2Y2C3,Hf C Y C Y C Hf,2,2,C,3
M2M'2C3,Hf,Ti,0,Hf2Ti2C3,Hf C Ti C Ti C Hf,2,2,C,3
M2M'2C3,Hf,Zr,1,Hf2Zr2C3,Hf C Zr C Zr C Hf,2,2,C,3
M2M'2C3,Hf,V,0,Hf2V2C3,Hf C V C V C Hf,2,2,C,3
M2M'2C3,Hf,Nb,1,Hf2Nb2C3,Hf C Nb C Nb C Hf,2,2,C,3
M2M'2C3,Hf,Ta,1,Hf2Ta2C3,Hf C Ta C Ta C Hf,2,2,C,3
M2M'2C3,Hf,Cr,0,Hf2Cr2C3,Hf C Cr C Cr C Hf,2,2,C,3
M2M'2C3,Hf,Mo,0,Hf2Mo2C3,Hf C Mo C Mo C Hf,2,2,C,3
M2M'2C3,Hf,W,0,Hf2W2C3,Hf C W C W C Hf,2,2,C,3
M2M'2C3,V,Sc,0,V2Sc2C3,V C Sc C Sc C V,2,2,C,3
M2M'2C3,V,Y,0,V2Y2C3,V C Y C Y C V,2,2,C,3
M2M'2C3,V,Ti,1,V2Ti2C3,V C Ti C Ti C V,2,2,C,3
M2M'2C3,V,Zr,0,V2Zr2C3,V C Zr C Zr C V,2,2,C,3
M2M'2C3,V,Hf,0,V2Hf2C3,V C Hf C Hf C V,2,2,C,3
M2M'2C3,V,Nb,0,V2Nb2C3,V C Nb C Nb C V,2,2,C,3
M2M'2C3,V,Ta,1,V2Ta2C3,V C Ta C Ta C V,2,2,C,3
M2M'2C3,V,Cr,1,V2Cr2C3,V C Cr C Cr C V,2,2,C,3
M2M'2C3,V,Mo,0,V2Mo2C3,V C Mo C Mo C V,2,2,C,3
M2M'2C3,V,W,0,V2W2C3,V C W C W C V,2,2,C,3
M2M'2C3,Nb,Sc,1,Nb2Sc2C3,Nb C Sc C Sc C Nb,2,2,C,3
M2M'2C3,Nb,Y,0,Nb2Y2C3,Nb C Y C Y C Nb,2,2,C,3
M2M'2C3,Nb,Ti,1,Nb2Ti2C3,Nb C Ti C Ti C Nb,2,2,C,3
M2M'2C3,Nb,Zr,1,Nb2Zr2C3,Nb C Zr C Zr C Nb,2,2,C,3
M2M'2C3,Nb,Hf,1,Nb2Hf2C3,Nb C Hf C Hf C Nb,2,2,C,3
M2M'2C3,Nb,V,0,Nb2V2C3,Nb C V C V C Nb,2,2,C,3
M2M'2C3,Nb,Ta,1,Nb2Ta2C3,Nb C Ta C Ta C Nb,2,2,C,3
M2M'2C3,Nb,Cr,0,Nb2Cr2C3,Nb C Cr C Cr C Nb,2,2,C,3
M2M'2C3,Nb,Mo,1,Nb2Mo2C3,Nb C Mo C Mo C Nb,2,2,C,3
M2M'2C3,Nb,W,0,Nb2W2C3,Nb C W C W C Nb,2,2,C,3
M2M'2C3,Ta,Sc,1,Ta2Sc2C3,Ta C Sc C Sc C Ta,2,2,C,3
M2M'2C3,Ta,Y,0,Ta2Y2C3,Ta C Y C Y C Ta,2,2,C,3
M2M'2C3,Ta,Ti,1,Ta2Ti2C3,Ta C Ti C Ti C Ta,2,2,C,3
M2M'2C3,Ta,Zr,1,Ta2Zr2C3,Ta C Zr C Zr C Ta,2,2,C,3
M2M'2C3,Ta,Hf,1,Ta2Hf2C3,Ta C Hf C Hf C Ta,2,2,C,3
M2M'2C3,Ta,V,1,Ta2V2C3,Ta C V C V C Ta,2,2,C,3
M2M'2C3,Ta,Nb,1,Ta2Nb2C3,Ta C Nb C Nb C Ta,2,2,C,3
M2M'2C3,Ta,Cr,1,Ta2Cr2C3,Ta C Cr C Cr C Ta,2,2,C,3
M2M'2C3,Ta,Mo,1,Ta2Mo2C3,Ta C Mo C Mo C Ta,2,2,C,3
M2M'2C3,Ta,W,0,Ta2W2C3,Ta C W C W C Ta,2,2,C,3
M2M'2C3,Cr,Sc,0,Cr2Sc2C3,Cr C Sc C Sc C Cr,2,2,C,3
M2M'2C3,Cr,Y,0,Cr2Y2C3,Cr C Y C Y C Cr,2,2,C,3
M2M'2C3,Cr,Ti,1,Cr2Ti2C3,Cr C Ti C Ti C Cr,2,2,C,3
M2M'2C3,Cr,Zr,0,Cr2Zr2C3,Cr C Zr C Zr C Cr,2,2,C,3
M2M'2C3,Cr,Hf,0,Cr2Hf2C3,Cr C Hf C Hf C Cr,2,2,C,3
M2M'2C3,Cr,V,1,Cr2V2C3,Cr C V C V C Cr,2,2,C,3
M2M'2C3,Cr,Nb,0,Cr2Nb2C3,Cr C Nb C Nb C Cr,2,2,C,3
M2M'2C3,Cr,Ta,1,Cr2Ta2C3,Cr C Ta C Ta C Cr,2,2,C,3
M2M'2C3,Cr,Mo,0,Cr2Mo2C3,Cr C Mo C Mo C Cr,2,2,C,3
M2M'2C3,Cr,W,0,Cr2W2C3,Cr C W C W C Cr,2,2,C,3
M2M'2C3,Mo,Sc,1,Mo2Sc2C3,Mo C Sc C Sc C Mo,2,2,C,3
M2M'2C3,Mo,Y,0,Mo2Y2C3,Mo C Y C Y C Mo,2,2,C,3
M2M'2C3,Mo,Ti,1,Mo2Ti2C3,Mo C Ti C Ti C Mo,2,2,C,3
M2M'2C3,Mo,Zr,1,Mo2Zr2C3,Mo C Zr C Zr C Mo,2,2,C,3
M2M'2C3,Mo,Hf,1,Mo2Hf2C3,Mo C Hf C Hf C Mo,2,2,C,3
M2M'2C3,Mo,V,0,Mo2V2C3,Mo C V C V C Mo,2,2,C,3
M2M'2C3,Mo,Nb,1,Mo2Nb2C3,Mo C Nb C Nb C Mo,2,2,C,3
M2M'2C3,Mo,Ta,1,Mo2Ta2C3,Mo C Ta C Ta C Mo,2,2,C,3
M2M'2C3,Mo,Cr,0,Mo2Cr2C3,Mo C Cr C Cr C Mo,2,2,C,3
M2M'2C3,Mo,W,0,Mo2W2C3,Mo C W C W C Mo,2,2,C,3
M2M'2C3,W,Sc,1,W2Sc2C3,W C Sc C Sc C W,2,2,C,3
M2M'2C3,W,Y,0,W2Y2C3,W C Y C Y C W,2,2,C,3
M2M'2C3,W,Ti,1,W2Ti2C3,W C Ti C Ti C W,2,2,C,3
M2M'2C3,W,Zr,0,W2Zr2C3,W C Zr C Zr C W,2,2,C,3
M2M'2C3,W,Hf,0,W2Hf2C3,W C Hf C Hf C W,2,2,C,3
M2M'2C3,W,V,0,W2V2C3,W C V C V C W,2,2,C,3
M2M'2C3,W,Nb,0,W2Nb2C3,W C Nb C Nb C W,2,2,C,3
M2M'2C3,W,Ta,0,W2Ta2C3,W C Ta C Ta C W,2,2,C,3
M2M'2C3,W,Cr,0,W2Cr2C3,W C Cr C Cr C W,2,2,C,3
M2M'2C3,W,Mo,0,W2Mo2C3,W C Mo C Mo C W,2,2,C,3
